model,target,split,MAE,RMSE,R2
GlobalMean,OFF_RATING,train,7.148,9.113,0.0
GlobalMean,DEF_RATING,train,6.723,8.6,0.0
GlobalMean,OFF_RATING,val,9.256,11.381,-0.519
GlobalMean,DEF_RATING,val,8.897,10.985,-0.625
GlobalMean,OFF_RATING,test,9.798,11.763,-0.842
GlobalMean,DEF_RATING,test,9.16,11.113,-0.572
MeanPlayerRating,OFF_RATING,train,5.822,7.596,0.305
MeanPlayerRating,DEF_RATING,train,5.979,7.639,0.211
MeanPlayerRating,OFF_RATING,val,6.144,8.213,0.209
MeanPlayerRating,DEF_RATING,val,6.387,8.182,0.099
MeanPlayerRating,OFF_RATING,test,6.025,7.712,0.208
MeanPlayerRating,DEF_RATING,test,6.104,8.193,0.146
Ridge,OFF_RATING,train,5.582,7.307,0.357
Ridge,DEF_RATING,train,5.51,7.111,0.316
Ridge,OFF_RATING,val,6.002,8.037,0.243
Ridge,DEF_RATING,val,6.099,7.847,0.171
Ridge,OFF_RATING,test,6.053,7.772,0.196
Ridge,DEF_RATING,test,5.956,7.834,0.219
DeepSets,OFF_RATING,train,5.55,7.311,0.351
DeepSets,DEF_RATING,train,5.161,6.788,0.364
DeepSets,OFF_RATING,val,6.031,8.001,0.223
DeepSets,DEF_RATING,val,5.964,7.636,0.183
DeepSets,OFF_RATING,test,6.203,7.96,0.137
DeepSets,DEF_RATING,test,5.995,7.83,0.205
NeuralNet,OFF_RATING,train,5.292,7.091,0.395
NeuralNet,DEF_RATING,train,5.377,7.04,0.33
NeuralNet,OFF_RATING,val,6.029,8.031,0.244
NeuralNet,DEF_RATING,val,6.101,7.852,0.17
NeuralNet,OFF_RATING,test,6.013,7.769,0.196
NeuralNet,DEF_RATING,test,6.014,7.884,0.209
SynergyNet,OFF_RATING,train,5.551,7.312,0.351
SynergyNet,DEF_RATING,train,5.145,6.774,0.367
SynergyNet,OFF_RATING,val,6.036,7.992,0.225
SynergyNet,DEF_RATING,val,5.96,7.609,0.189
SynergyNet,OFF_RATING,test,6.168,7.895,0.151
SynergyNet,DEF_RATING,test,6.01,7.854,0.2
Ridge+SynFeats,OFF_RATING,train,5.582,7.307,0.357
Ridge+SynFeats,OFF_RATING,val,6.002,8.037,0.243
Ridge+SynFeats,OFF_RATING,test,6.053,7.772,0.196
Ridge+SynFeats,DEF_RATING,train,5.51,7.111,0.316
Ridge+SynFeats,DEF_RATING,val,6.099,7.847,0.171
Ridge+SynFeats,DEF_RATING,test,5.956,7.834,0.219
SynergyNetV2,OFF_RATING,train,5.533,7.288,0.355
SynergyNetV2,DEF_RATING,train,5.126,6.751,0.371
SynergyNetV2,OFF_RATING,val,6.001,7.944,0.234
SynergyNetV2,DEF_RATING,val,5.957,7.619,0.187
SynergyNetV2,OFF_RATING,test,6.119,7.865,0.157
SynergyNetV2,DEF_RATING,test,6.021,7.845,0.201
