epoch,train_loss,val_mae,lr
1,0.73768,6.2917,0.0005
2,0.68531,6.2455,0.0005
3,0.67884,6.1675,0.0005
4,0.67265,6.4874,0.0005
5,0.66248,6.0711,0.0005
6,0.65811,6.2162,0.0005
7,0.65834,6.0859,0.0005
8,0.65423,6.2105,0.0005
9,0.66306,6.1215,0.0005
10,0.64751,6.1808,0.0005
11,0.65635,6.0477,0.0005
12,0.64982,6.079,0.0005
13,0.6476,6.0702,0.0005
14,0.64976,6.0202,0.0005
15,0.64728,6.129,0.0005
16,0.64329,6.136,0.0005
17,0.64571,6.0966,0.0005
18,0.64137,6.159,0.0005
19,0.6456,6.0623,0.0005
20,0.63698,6.0265,0.0005
21,0.6346,6.1463,0.0005
22,0.63807,6.0467,0.0005
23,0.63953,6.0228,0.0005
24,0.64801,6.0189,0.0005
25,0.63549,6.045,0.0005
26,0.63243,6.0216,0.0005
27,0.63053,6.1198,0.0005
28,0.6386,6.0309,0.0005
29,0.63079,6.1849,0.0005
30,0.63553,6.0998,0.0005
31,0.63539,6.0182,0.0005
32,0.63652,6.1768,0.0005
33,0.62813,6.0254,0.0005
34,0.63146,6.0339,0.0005
35,0.6265,6.011,0.0005
36,0.62604,6.1574,0.0005
37,0.62889,6.0375,0.0005
38,0.62711,6.0279,0.0005
39,0.62004,6.0176,0.0005
40,0.62683,6.0563,0.0005
41,0.62851,6.0302,0.0005
42,0.62294,6.0602,0.0005
43,0.62636,6.2802,0.0005
44,0.62961,6.0002,0.0005
45,0.62238,6.1066,0.0005
46,0.62197,6.0903,0.0005
47,0.62114,6.3646,0.0005
48,0.61987,6.107,0.0005
49,0.62183,6.0176,0.0005
50,0.61689,6.0571,0.0005
51,0.6198,6.0589,0.0005
52,0.61813,6.382,0.0005
53,0.62111,6.1167,0.0005
54,0.61704,6.2215,0.0005
55,0.61495,6.0493,0.0005
56,0.62134,6.1529,0.0005
57,0.61942,6.0891,0.0005
58,0.61967,6.0217,0.0005
59,0.61769,6.0231,0.0005
60,0.61221,6.0349,0.0005
61,0.61304,6.013,0.0005
62,0.61471,6.0234,0.0005
63,0.61793,6.0223,0.0005
64,0.61226,6.3313,0.0005
65,0.61379,6.1894,0.0005
66,0.61634,6.1241,0.0005
67,0.61352,6.1058,0.0005
68,0.61205,6.218,0.0005
69,0.61138,6.1516,0.0005
70,0.61493,6.2576,0.00025
71,0.61071,6.1199,0.00025
72,0.60744,6.0516,0.00025
73,0.60825,6.0732,0.00025
74,0.60946,6.1094,0.00025
75,0.60766,6.1405,0.00025
76,0.60334,6.0641,0.00025
77,0.60017,6.0865,0.00025
78,0.60494,6.2125,0.00025
79,0.60465,6.1426,0.00025
80,0.60841,6.3061,0.00025
81,0.59992,6.138,0.00025
82,0.60335,6.2225,0.00025
83,0.60226,6.1395,0.00025
84,0.60466,6.1172,0.00025
85,0.609,6.1209,0.00025
86,0.61014,6.1373,0.00025
87,0.59676,6.3101,0.00025
88,0.60122,6.0928,0.00025
89,0.59934,6.1711,0.00025
90,0.59666,6.1078,0.00025
91,0.60225,6.1699,0.00025
92,0.6031,6.2402,0.00025
93,0.60065,6.0835,0.00025
94,0.59752,6.0508,0.00025
