epoch,train_loss,val_mae,lr
1,0.71597,6.2513,0.0005
2,0.66141,6.2735,0.0005
3,0.65801,6.2619,0.0005
4,0.65398,6.1763,0.0005
5,0.65179,6.3052,0.0005
6,0.65005,6.1934,0.0005
7,0.63986,6.1828,0.0005
8,0.64267,6.3161,0.0005
9,0.64044,6.1042,0.0005
10,0.63598,6.0785,0.0005
11,0.63205,6.1579,0.0005
12,0.6302,6.1258,0.0005
13,0.63577,6.0722,0.0005
14,0.62712,6.1391,0.0005
15,0.62784,6.152,0.0005
16,0.63003,6.0313,0.0005
17,0.62783,6.2007,0.0005
18,0.62502,6.0452,0.0005
19,0.62235,6.1417,0.0005
20,0.61354,6.2439,0.0005
21,0.62139,6.1563,0.0005
22,0.62612,6.4642,0.0005
23,0.62898,6.4246,0.0005
24,0.62004,6.1249,0.0005
25,0.62285,6.0777,0.0005
26,0.61536,6.2407,0.0005
27,0.61974,6.2793,0.0005
28,0.61133,6.1652,0.0005
29,0.61824,6.0895,0.0005
30,0.6111,6.079,0.0005
31,0.61809,6.1612,0.0005
32,0.61458,6.0587,0.0005
33,0.6098,6.1433,0.0005
34,0.61498,6.1361,0.0005
35,0.61215,6.0914,0.0005
36,0.60624,6.1352,0.0005
37,0.61724,6.0867,0.0005
38,0.6059,6.364,0.0005
39,0.61259,6.2176,0.0005
40,0.60858,6.2066,0.0005
41,0.60474,6.2303,0.0005
42,0.61156,6.0772,0.00025
43,0.60027,6.106,0.00025
44,0.60058,6.2776,0.00025
45,0.60006,6.1223,0.00025
46,0.59907,6.1868,0.00025
47,0.60222,6.3325,0.00025
48,0.60484,6.1939,0.00025
49,0.59448,6.1522,0.00025
50,0.60153,6.1847,0.00025
51,0.59645,6.129,0.00025
52,0.60066,6.163,0.00025
53,0.59976,6.2439,0.00025
54,0.59698,6.1759,0.00025
55,0.60207,6.107,0.00025
56,0.60127,6.1641,0.00025
57,0.59773,6.2073,0.00025
58,0.59819,6.103,0.00025
59,0.59297,6.2973,0.00025
60,0.59812,6.2213,0.00025
61,0.59644,6.2519,0.00025
62,0.59599,6.1079,0.00025
63,0.59774,6.1399,0.00025
64,0.59551,6.238,0.00025
65,0.58838,6.1946,0.00025
66,0.59301,6.0871,0.00025
