epoch,train_loss,val_off_mae,val_def_mae,val_combined_mae,lr
1,0.79444,7.671,7.701,7.686,0.001
2,0.72648,7.73,7.526,7.628,0.001
3,0.68844,7.605,7.454,7.5295,0.001
4,0.6814,7.739,7.441,7.59,0.001
5,0.664,7.566,7.364,7.465,0.001
6,0.65646,7.629,7.41,7.5195,0.001
7,0.64913,7.621,7.425,7.523,0.001
8,0.63796,7.676,7.375,7.5255,0.001
9,0.6166,7.624,7.4,7.512,0.001
10,0.61914,7.558,7.385,7.4715,0.001
11,0.61052,7.591,7.443,7.517,0.001
12,0.61442,7.662,7.388,7.525,0.001
13,0.59823,7.693,7.575,7.634,0.001
14,0.57302,7.654,7.551,7.6025,0.001
15,0.58644,7.681,7.457,7.569,0.001
16,0.56203,7.566,7.547,7.5565,0.001
17,0.56366,7.628,7.382,7.505,0.001
18,0.56727,7.642,7.502,7.572,0.001
19,0.5526,7.682,7.471,7.5765,0.001
20,0.5504,7.927,7.53,7.7285,0.001
21,0.56402,7.762,7.467,7.6145,0.001
22,0.5322,7.803,7.497,7.65,0.001
23,0.54843,7.749,7.681,7.715,0.001
24,0.53808,7.656,7.992,7.824,0.001
25,0.54164,7.886,7.602,7.744,0.001
26,0.52121,7.873,7.745,7.809,0.0005
27,0.51829,7.833,7.625,7.729,0.0005
28,0.48808,7.875,7.842,7.8585,0.0005
29,0.5053,7.869,7.56,7.7145,0.0005
30,0.49253,7.925,7.711,7.818,0.0005
31,0.48183,7.926,7.643,7.7845,0.0005
32,0.47743,7.877,7.774,7.8255,0.0005
33,0.48357,7.965,7.85,7.9075,0.0005
34,0.47156,7.963,7.777,7.87,0.0005
35,0.47353,7.892,7.807,7.8495,0.0005
36,0.48357,7.885,7.721,7.803,0.0005
37,0.46588,7.957,7.896,7.9265,0.0005
38,0.46675,7.95,8.065,8.0075,0.0005
39,0.46384,7.993,7.789,7.891,0.0005
40,0.47463,8.01,7.745,7.8775,0.0005
41,0.45861,7.932,7.785,7.8585,0.0005
42,0.46525,7.992,7.755,7.8735,0.0005
43,0.45205,8.025,7.741,7.883,0.0005
44,0.4525,7.941,7.786,7.8635,0.0005
45,0.43511,8.081,7.898,7.9895,0.0005
