epoch,train_loss,val_mae,lr
1,0.77396,8.1619,0.0005
2,0.7345,7.4013,0.0005
3,0.70847,6.5457,0.0005
4,0.68184,6.3257,0.0005
5,0.67303,6.2119,0.0005
6,0.67112,6.2397,0.0005
7,0.66202,6.2061,0.0005
8,0.65631,6.1838,0.0005
9,0.6664,6.1902,0.0005
10,0.64796,6.1746,0.0005
11,0.65167,6.1626,0.0005
12,0.64148,6.2203,0.0005
13,0.6478,6.2051,0.0005
14,0.63946,6.2149,0.0005
15,0.64703,6.2397,0.0005
16,0.64054,6.2279,0.0005
17,0.63926,6.2198,0.0005
18,0.63565,6.2485,0.0005
19,0.62976,6.2271,0.0005
20,0.63601,6.2275,0.0005
21,0.62846,6.2449,0.0005
22,0.63308,6.2831,0.0005
23,0.61824,6.2781,0.0005
24,0.63446,6.2118,0.0005
25,0.62733,6.2433,0.0005
26,0.62563,6.2607,0.0005
27,0.62732,6.2702,0.0005
28,0.6206,6.3152,0.0005
29,0.61795,6.2635,0.0005
30,0.61728,6.3061,0.0005
31,0.61618,6.3193,0.0005
32,0.61097,6.2855,0.0005
33,0.60714,6.3359,0.0005
34,0.60935,6.2757,0.0005
35,0.61355,6.3011,0.0005
36,0.6108,6.3105,0.0005
37,0.60505,6.3359,0.00025
38,0.60358,6.3615,0.00025
39,0.61282,6.3151,0.00025
40,0.60525,6.3207,0.00025
41,0.60064,6.3289,0.00025
42,0.59778,6.3147,0.00025
43,0.60543,6.3148,0.00025
44,0.60292,6.3206,0.00025
45,0.6007,6.3592,0.00025
46,0.59897,6.3557,0.00025
47,0.59262,6.3558,0.00025
48,0.59475,6.3728,0.00025
49,0.59441,6.3935,0.00025
50,0.59021,6.4121,0.00025
51,0.59658,6.4222,0.00025
52,0.59731,6.4065,0.00025
53,0.59307,6.3935,0.00025
54,0.59973,6.3804,0.00025
55,0.59616,6.3584,0.00025
56,0.59496,6.3692,0.00025
57,0.59963,6.3734,0.00025
58,0.58903,6.3971,0.00025
59,0.5931,6.3724,0.00025
60,0.58991,6.3838,0.00025
61,0.57871,6.3747,0.00025
