epoch,train_loss,val_mae,lr
1,0.74406,7.6976,0.0005
2,0.68862,6.5061,0.0005
3,0.66497,6.3833,0.0005
4,0.6554,6.3073,0.0005
5,0.65438,6.2446,0.0005
6,0.64507,6.1727,0.0005
7,0.63852,6.1575,0.0005
8,0.63555,6.1081,0.0005
9,0.62616,6.0579,0.0005
10,0.62505,6.0947,0.0005
11,0.61896,6.1083,0.0005
12,0.61454,6.0532,0.0005
13,0.61489,6.0789,0.0005
14,0.61612,6.1012,0.0005
15,0.62545,6.0636,0.0005
16,0.60852,6.0991,0.0005
17,0.61022,6.1838,0.0005
18,0.60723,6.0839,0.0005
19,0.61013,6.2112,0.0005
20,0.60699,6.1442,0.0005
21,0.60278,6.2544,0.0005
22,0.60763,6.2673,0.0005
23,0.60572,6.1306,0.0005
24,0.59114,6.0651,0.0005
25,0.60037,6.1184,0.0005
26,0.59503,6.1232,0.0005
27,0.59552,6.0688,0.0005
28,0.58736,6.0289,0.0005
29,0.58808,6.0436,0.0005
30,0.60029,6.0626,0.0005
31,0.60045,6.0519,0.0005
32,0.59319,6.2078,0.0005
33,0.58481,6.1026,0.0005
34,0.5845,6.1082,0.0005
35,0.59148,6.2662,0.0005
36,0.58397,6.1295,0.0005
37,0.58489,6.2276,0.0005
38,0.5917,6.1905,0.0005
39,0.58415,6.1876,0.0005
40,0.58232,6.1878,0.0005
41,0.58932,6.1858,0.0005
42,0.58827,6.139,0.0005
43,0.58565,6.1915,0.0005
44,0.57473,6.2631,0.0005
45,0.57646,6.1814,0.0005
46,0.56955,6.2408,0.0005
47,0.57602,6.313,0.0005
48,0.57349,6.2548,0.0005
49,0.57992,6.4651,0.0005
50,0.57331,6.3838,0.0005
51,0.57273,6.2831,0.0005
52,0.57018,6.3279,0.0005
53,0.57598,6.4207,0.0005
54,0.5669,6.3476,0.00025
55,0.57474,6.3295,0.00025
56,0.56844,6.3441,0.00025
57,0.56252,6.3072,0.00025
58,0.56739,6.2867,0.00025
59,0.56468,6.357,0.00025
60,0.55952,6.4313,0.00025
61,0.55819,6.3376,0.00025
62,0.55997,6.326,0.00025
63,0.57111,6.3309,0.00025
64,0.56574,6.3269,0.00025
65,0.55479,6.3028,0.00025
66,0.55885,6.3715,0.00025
67,0.55632,6.4335,0.00025
68,0.55526,6.4506,0.00025
69,0.5554,6.3149,0.00025
70,0.56545,6.3479,0.00025
71,0.55406,6.3712,0.00025
72,0.55135,6.363,0.00025
73,0.55682,6.3581,0.00025
74,0.56104,6.3934,0.00025
75,0.55569,6.3572,0.00025
76,0.55285,6.3747,0.00025
77,0.55618,6.3514,0.00025
78,0.55499,6.457,0.00025
