epoch,train_loss,val_mae,lr
1,0.72386,6.2015,0.0005
2,0.68026,6.1537,0.0005
3,0.67811,6.0889,0.0005
4,0.66399,6.3471,0.0005
5,0.65165,6.0843,0.0005
6,0.65458,6.1736,0.0005
7,0.6519,6.1012,0.0005
8,0.6477,6.0855,0.0005
9,0.65016,6.0677,0.0005
10,0.64325,6.146,0.0005
11,0.64644,6.0268,0.0005
12,0.64453,6.0399,0.0005
13,0.64332,6.063,0.0005
14,0.64173,6.192,0.0005
15,0.63616,6.1873,0.0005
16,0.63455,6.149,0.0005
17,0.62574,6.0631,0.0005
18,0.62899,6.102,0.0005
19,0.62959,6.1596,0.0005
20,0.63192,6.1709,0.0005
21,0.62502,6.0739,0.0005
22,0.6275,6.0683,0.0005
23,0.62994,6.0794,0.0005
24,0.62637,6.5872,0.0005
25,0.63183,6.1324,0.0005
26,0.62086,6.3995,0.0005
27,0.61959,6.0598,0.0005
28,0.62241,6.3402,0.0005
29,0.62178,6.1167,0.0005
30,0.61628,6.0763,0.0005
31,0.6201,6.3024,0.0005
32,0.61921,6.2685,0.0005
33,0.61989,6.4365,0.0005
34,0.61166,6.1882,0.0005
35,0.6112,6.6712,0.0005
36,0.61034,6.1381,0.0005
37,0.61134,6.1173,0.00025
38,0.6113,6.3227,0.00025
39,0.60538,6.089,0.00025
40,0.61171,6.1786,0.00025
41,0.60244,6.2608,0.00025
42,0.60118,6.3847,0.00025
43,0.60534,6.1661,0.00025
44,0.61168,6.2669,0.00025
45,0.61092,6.1443,0.00025
46,0.60282,6.1919,0.00025
47,0.60109,6.1687,0.00025
48,0.60464,6.4415,0.00025
49,0.5977,6.5491,0.00025
50,0.60679,6.266,0.00025
51,0.59788,6.1615,0.00025
52,0.59953,6.2765,0.00025
53,0.59518,6.1361,0.00025
54,0.60084,6.1775,0.00025
55,0.59657,6.6029,0.00025
56,0.59788,6.1183,0.00025
57,0.59276,6.1539,0.00025
58,0.59673,6.1038,0.00025
59,0.59807,6.2852,0.00025
60,0.59848,6.1586,0.00025
61,0.59381,6.126,0.00025
