epoch,train_loss,val_mae,lr
1,0.71605,6.3432,0.0005
2,0.6614,6.32,0.0005
3,0.6529,6.3011,0.0005
4,0.6477,6.597,0.0005
5,0.63562,7.0433,0.0005
6,0.64269,6.5389,0.0005
7,0.63562,6.4282,0.0005
8,0.63575,6.7509,0.0005
9,0.626,6.2611,0.0005
10,0.62386,6.3464,0.0005
11,0.62864,6.6272,0.0005
12,0.62367,6.3801,0.0005
13,0.61933,6.9251,0.0005
14,0.62721,6.8229,0.0005
15,0.61585,6.6011,0.0005
16,0.61427,6.8615,0.0005
17,0.61043,7.2559,0.0005
18,0.61419,6.5613,0.0005
19,0.61174,7.4388,0.0005
20,0.60591,7.4869,0.0005
21,0.61329,7.1082,0.0005
22,0.60962,7.5352,0.0005
23,0.60979,7.0471,0.0005
24,0.60284,7.2037,0.0005
25,0.60067,7.2527,0.0005
26,0.60306,6.8975,0.0005
27,0.60062,7.9362,0.0005
28,0.60027,7.3895,0.0005
29,0.60075,7.5582,0.0005
30,0.60168,6.8995,0.0005
31,0.59766,7.1716,0.0005
32,0.59565,6.976,0.0005
33,0.59325,7.3455,0.0005
34,0.59985,7.1068,0.0005
35,0.59732,7.6597,0.00025
36,0.58636,6.8274,0.00025
37,0.59005,6.9776,0.00025
38,0.5859,7.2172,0.00025
39,0.57969,7.3488,0.00025
40,0.58048,7.2097,0.00025
41,0.57596,8.0966,0.00025
42,0.57686,7.2366,0.00025
43,0.57846,7.478,0.00025
44,0.57937,7.2309,0.00025
45,0.57521,7.0985,0.00025
46,0.57909,7.243,0.00025
47,0.58445,7.9137,0.00025
48,0.57644,7.0457,0.00025
49,0.5728,7.1961,0.00025
50,0.58044,7.0693,0.00025
51,0.58188,7.3128,0.00025
52,0.57085,7.3738,0.00025
53,0.5667,7.696,0.00025
54,0.57158,6.9549,0.00025
55,0.57277,7.2052,0.00025
56,0.57186,7.3197,0.00025
57,0.56358,7.5498,0.00025
58,0.572,6.8428,0.00025
59,0.57365,6.9352,0.00025
