epoch,train_loss,val_mae,lr
1,0.71891,6.3294,0.0005
2,0.67157,6.2234,0.0005
3,0.66829,6.1518,0.0005
4,0.66007,6.0911,0.0005
5,0.66056,6.0886,0.0005
6,0.65391,5.9941,0.0005
7,0.66067,6.1333,0.0005
8,0.656,6.1092,0.0005
9,0.64935,6.0242,0.0005
10,0.64043,6.0377,0.0005
11,0.64544,6.0572,0.0005
12,0.63607,6.0541,0.0005
13,0.63825,6.0573,0.0005
14,0.63303,6.2175,0.0005
15,0.63866,6.1181,0.0005
16,0.63927,6.277,0.0005
17,0.63299,6.0671,0.0005
18,0.62786,6.1171,0.0005
19,0.63641,6.4736,0.0005
20,0.62622,6.0824,0.0005
21,0.62186,6.087,0.0005
22,0.62358,6.1039,0.0005
23,0.62399,6.3317,0.0005
24,0.62892,6.2398,0.0005
25,0.61675,6.2386,0.0005
26,0.61993,6.2563,0.0005
27,0.61864,6.0229,0.0005
28,0.61986,6.0977,0.0005
29,0.61435,6.2349,0.0005
30,0.61555,6.1669,0.0005
31,0.61368,6.5522,0.0005
32,0.61211,6.598,0.00025
33,0.60262,6.318,0.00025
34,0.60721,6.3696,0.00025
35,0.60479,6.4071,0.00025
36,0.60025,6.4899,0.00025
37,0.60373,6.2128,0.00025
38,0.59559,6.6506,0.00025
39,0.60503,6.277,0.00025
40,0.59555,6.4228,0.00025
41,0.60745,6.4199,0.00025
42,0.59788,6.4405,0.00025
43,0.59748,6.1874,0.00025
44,0.59313,6.5306,0.00025
45,0.58978,6.5979,0.00025
46,0.59408,6.7398,0.00025
47,0.59447,6.4694,0.00025
48,0.59077,6.5015,0.00025
49,0.59942,6.434,0.00025
50,0.59629,6.7785,0.00025
51,0.59754,6.3159,0.00025
52,0.58883,6.7253,0.00025
53,0.58694,6.5527,0.00025
54,0.58995,6.4001,0.00025
55,0.58754,6.4735,0.00025
56,0.58866,6.3477,0.00025
