epoch,train_loss,val_mae,lr
1,0.69945,6.5658,0.0005
2,0.65296,6.1802,0.0005
3,0.65101,6.1218,0.0005
4,0.64363,6.3493,0.0005
5,0.64161,6.5528,0.0005
6,0.63469,6.2762,0.0005
7,0.63373,6.5722,0.0005
8,0.63158,6.4933,0.0005
9,0.62623,6.1776,0.0005
10,0.63391,6.0914,0.0005
11,0.62422,6.45,0.0005
12,0.61932,6.2662,0.0005
13,0.61494,6.2416,0.0005
14,0.62089,6.4286,0.0005
15,0.6109,6.2106,0.0005
16,0.60976,6.7991,0.0005
17,0.61287,6.4682,0.0005
18,0.61156,6.37,0.0005
19,0.61085,6.9399,0.0005
20,0.61062,6.7759,0.0005
21,0.60177,6.4948,0.0005
22,0.60218,7.8716,0.0005
23,0.61,7.4777,0.0005
24,0.60443,7.2654,0.0005
25,0.60634,6.5798,0.0005
26,0.6036,6.8646,0.0005
27,0.59351,7.8691,0.0005
28,0.60233,6.4637,0.0005
29,0.5951,6.8604,0.0005
30,0.59353,6.6401,0.0005
31,0.59822,7.0737,0.0005
32,0.59095,6.7256,0.0005
33,0.58903,6.8607,0.0005
34,0.5921,7.0025,0.0005
35,0.59134,6.5197,0.0005
36,0.58393,6.535,0.00025
37,0.586,6.96,0.00025
38,0.58246,6.8832,0.00025
39,0.58001,6.4673,0.00025
40,0.5797,6.9724,0.00025
41,0.58104,7.2924,0.00025
42,0.57829,7.1521,0.00025
43,0.57433,7.8434,0.00025
44,0.56734,7.2172,0.00025
45,0.57216,7.2241,0.00025
46,0.57136,7.147,0.00025
47,0.57261,7.3965,0.00025
48,0.5774,7.079,0.00025
49,0.56767,6.9431,0.00025
50,0.56695,6.7485,0.00025
51,0.56678,7.248,0.00025
52,0.57415,6.9867,0.00025
53,0.56306,7.5227,0.00025
54,0.56584,6.9836,0.00025
55,0.55929,7.2229,0.00025
56,0.55888,7.0892,0.00025
57,0.55887,7.7587,0.00025
58,0.55624,6.8754,0.00025
59,0.5574,6.9847,0.00025
60,0.56217,7.2623,0.00025
